Date,Total Signals,healthcare,financials,consumer discretionary,fmcg,i.t,aerospace & defence,services,transportation,industrials,n/a,textiles,bank,indices,auto,chemicals,realty,building materials,telecom,metals & mining,telecom-service,energy,media,co-working,plastic products,miscellaneous,power & utilities
2025-12-23,16,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,1,0,0,0,0,0
2025-12-25,15,1,3,1,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4,0,0,0,0,0,1,0
2025-12-28,10,0,0,1,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025-12-29,20,2,3,0,1,1,0,0,0,1,0,1,3,0,2,1,0,0,0,5,0,0,0,0,0,0,0
2025-12-30,42,1,5,1,3,1,0,0,1,1,0,0,10,0,2,1,0,0,0,9,0,5,0,0,0,0,2
2025-12-31,46,1,6,0,4,3,0,0,1,2,0,0,8,0,4,1,1,1,1,5,0,5,0,0,0,0,3
2026-01-01,61,0,8,3,4,2,0,0,1,2,0,1,11,0,7,1,2,1,1,9,0,3,0,0,0,0,5
2026-01-04,53,0,8,6,5,1,2,0,0,4,0,0,8,0,4,0,1,1,0,9,0,0,0,0,1,0,3
2026-01-05,45,6,9,3,7,0,2,0,1,1,0,0,7,0,1,0,1,0,0,5,0,1,0,0,0,1,0
2026-01-06,46,8,5,3,6,5,1,0,1,1,0,0,4,0,0,1,2,0,0,5,0,1,0,0,1,1,1
2026-01-07,5,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-08,6,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2026-01-11,18,1,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,8,0,0,0,0,0,0,0
2026-01-12,19,1,3,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,7,0,1,0,0,0,0,0
2026-01-13,27,1,2,0,1,1,1,0,0,1,0,0,8,0,1,0,0,0,1,7,0,2,0,0,0,0,1
2026-01-15,22,0,4,0,1,4,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,1
2026-01-18,16,0,1,0,2,4,0,0,0,0,0,0,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0
2026-01-19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2026-01-20,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2026-01-21,18,0,1,0,3,2,0,0,0,1,0,0,4,0,1,0,0,0,0,6,0,0,0,0,0,0,0
2026-01-22,8,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
2026-01-26,16,0,1,0,0,3,0,0,0,1,0,0,2,0,0,0,0,1,0,7,0,1,0,0,0,0,0
2026-01-27,31,0,3,0,0,2,3,0,0,1,0,0,8,0,2,0,0,0,0,8,0,3,0,0,0,0,1
2026-01-28,29,0,5,0,0,2,1,0,0,1,0,0,4,0,2,0,0,0,1,9,0,3,0,0,0,0,1
2026-01-29,16,0,2,0,1,0,1,0,1,1,0,0,5,0,2,0,0,0,1,0,0,1,0,0,0,0,1
2026-01-31,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01,5,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
2026-02-02,28,0,2,0,0,0,0,0,2,7,0,0,5,0,4,0,0,0,0,2,0,3,0,0,1,0,2
2026-02-03,24,0,1,2,0,0,0,0,1,5,0,0,1,0,1,0,1,0,0,3,0,5,0,0,0,1,3
2026-02-04,25,1,3,2,0,1,0,0,1,3,0,0,3,0,1,0,0,0,0,4,0,3,0,0,0,0,3
2026-02-05,17,0,2,1,0,1,0,0,0,4,0,0,2,0,1,0,0,0,0,4,0,1,0,0,0,0,1
2026-02-08,43,1,6,7,2,1,0,0,1,5,0,1,5,0,4,0,2,0,1,3,0,2,0,0,0,1,1
2026-02-09,38,0,4,6,2,2,0,0,0,4,0,1,3,0,4,0,2,0,1,2,0,3,0,0,1,1,2
2026-02-10,46,2,7,6,3,0,0,0,1,4,0,0,4,0,5,0,2,0,1,2,0,4,0,0,2,0,3
2026-02-11,36,3,6,5,1,0,1,1,0,3,0,0,5,0,2,0,1,0,1,1,0,1,0,0,1,1,3
2026-02-12,10,0,1,4,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2026-02-15,25,3,2,2,1,0,0,0,0,1,0,0,5,0,0,0,1,0,1,4,0,1,0,0,1,1,2
2026-02-16,34,4,2,1,2,0,1,0,1,1,0,0,8,0,4,0,1,0,1,2,0,2,0,0,0,1,3
2026-02-17,43,2,6,3,2,0,1,0,0,3,0,0,12,0,4,0,2,0,1,3,0,2,0,0,0,0,2
2026-02-18,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2026-02-19,24,2,2,1,0,0,0,0,0,3,0,0,8,0,1,0,1,0,0,0,0,2,0,0,1,1,2
2026-02-22,35,4,6,2,1,0,0,0,0,4,0,0,10,0,2,0,1,0,0,1,0,1,0,0,0,1,2
2026-02-23,28,3,2,0,2,0,0,0,0,6,0,0,6,0,1,0,0,0,0,3,0,2,0,0,1,0,2
2026-02-24,42,6,5,2,2,0,0,0,0,4,0,0,6,0,5,0,0,0,0,5,0,3,0,0,1,1,2
2026-02-25,44,10,3,2,0,0,0,0,1,4,0,0,8,0,4,1,0,0,0,5,0,4,0,0,1,1,0
2026-02-26,19,3,0,2,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0
2026-03-01,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2026-03-03,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-04,10,3,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2026-03-05,8,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2026-03-08,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09,9,5,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-10,11,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0
2026-03-11,10,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5
2026-03-12,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2026-03-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2026-03-16,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-03-17,5,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2026-03-18,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-19,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2026-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-23,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-24,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2026-03-26,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2026-03-29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2026-03-31,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2026-04-01,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2026-04-05,7,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2026-04-06,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2026-04-07,25,1,5,2,0,3,0,1,1,2,0,0,1,0,0,0,3,0,0,2,0,1,0,0,0,0,3
2026-04-08,26,0,6,2,0,3,0,0,1,4,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,3
2026-04-09,38,2,9,2,0,1,1,1,1,6,0,0,3,0,3,0,2,0,0,4,0,0,0,0,0,0,3
2026-04-12,19,0,2,1,0,0,0,2,0,2,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,5
2026-04-14,63,4,13,5,1,4,2,2,2,5,0,0,2,0,4,0,3,1,0,5,0,1,0,0,0,1,8
2026-04-15,63,3,13,4,1,7,3,2,2,7,0,0,1,0,1,0,3,1,0,6,0,1,0,0,0,1,7
2026-04-16,81,4,16,7,5,4,5,2,3,10,0,0,3,0,2,0,3,1,0,8,0,0,0,0,0,1,7
2026-04-19,54,1,11,4,3,4,2,1,1,9,0,0,4,0,0,0,2,1,0,4,0,0,0,0,0,0,7
2026-04-20,55,3,12,4,6,3,1,1,2,6,0,0,4,0,1,0,5,1,0,3,0,1,0,0,0,0,2
2026-04-21,61,2,10,6,6,2,3,1,1,8,0,0,3,0,4,0,4,1,0,3,0,1,0,0,0,1,5
2026-04-22,40,8,3,2,4,2,3,2,1,5,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,5
2026-04-23,22,3,1,1,5,2,1,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3
2026-04-26,53,3,7,3,3,2,1,2,2,6,0,0,2,0,2,0,2,0,0,8,0,1,0,0,0,1,8
2026-04-27,43,4,6,3,2,2,2,2,1,4,0,0,0,0,2,0,2,0,0,5,0,2,0,0,0,0,6
2026-04-28,34,2,5,1,5,1,3,2,1,2,0,0,3,0,2,0,2,0,0,3,0,2,0,0,0,0,0
2026-04-29,13,1,1,0,3,0,0,0,0,1,0,0,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0
2026-05-03,39,4,4,2,2,2,1,2,3,4,0,1,2,0,1,0,2,0,0,2,0,2,0,0,0,0,5
2026-05-04,38,5,11,1,2,3,1,2,1,3,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4
2026-05-05,64,8,17,4,4,2,3,1,3,5,0,0,3,0,0,1,2,1,0,4,0,2,0,0,0,0,4
2026-05-06,69,6,13,4,3,1,4,1,2,6,0,1,4,0,4,2,5,1,0,4,0,2,0,0,0,3,3
2026-05-07,52,4,11,3,4,2,2,1,2,5,0,1,5,0,3,2,3,1,0,0,0,0,0,0,0,3,0
2026-05-10,18,8,3,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2026-05-11,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2026-05-12,20,4,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,1
2026-05-13,37,8,6,1,3,1,0,1,2,2,0,0,1,0,0,1,0,1,0,6,0,2,0,0,0,0,2
2026-05-14,16,7,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
