Date,Total Signals,consumer discretionary,fmcg,telecom-service,bank,auto,realty,indices,healthcare,plastic products,financials,chemicals,aerospace & defence,miscellaneous,i.t,textiles,power & utilities,media,industrials,energy,metals & mining,telecom,building materials,services,transportation,n/a,co-working
2025-10-27,15,0,1,0,0,0,0,0,1,0,2,2,0,1,0,1,0,0,5,0,0,0,0,2,0,0,0
2025-10-28,17,0,1,0,0,2,0,6,0,0,0,1,1,0,1,0,1,0,3,0,0,0,0,0,0,1,0
2025-10-29,8,2,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-30,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2025-11-02,12,1,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0
2025-11-03,7,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
2025-11-05,6,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
2025-11-06,4,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-09,20,1,2,0,1,2,1,1,2,0,3,0,0,1,2,1,1,0,0,0,1,1,0,0,0,0,0
2025-11-10,10,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,1,0,1,0,1,0,0
2025-11-11,19,3,0,0,0,1,1,0,0,0,3,1,0,1,3,1,1,0,2,0,0,0,1,0,0,1,0
2025-11-12,8,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
2025-11-13,11,2,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
2025-11-16,12,1,0,0,0,1,4,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2025-11-17,7,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2025-11-18,10,0,2,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,2,0
2025-11-19,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-11-20,5,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-23,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-25,16,0,0,0,0,1,1,1,0,0,2,0,1,0,2,1,0,0,0,0,4,0,3,0,0,0,0
2025-11-26,5,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2025-11-27,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,6,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2025-12-01,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-02,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-12-03,5,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-04,7,1,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-12-08,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-12-09,15,2,1,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,1,0,2,0,2,1,0,0,0
2025-12-10,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2025-12-11,20,2,3,0,1,0,5,2,1,0,1,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0
2025-12-14,14,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,3,0,2,0,1,0,0
2025-12-15,9,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0
2025-12-16,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2025-12-18,15,0,0,1,0,1,2,4,1,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0
2025-12-21,22,1,0,0,3,1,1,2,1,0,2,0,0,2,2,0,0,0,3,1,1,0,0,1,1,0,0
2025-12-22,11,0,1,0,0,1,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0
2025-12-23,10,1,0,0,0,0,1,0,1,0,0,0,1,2,1,0,0,1,0,0,1,0,0,1,0,0,0
2025-12-25,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2025-12-28,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0
2025-12-29,8,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
2025-12-30,20,0,1,0,1,2,1,2,0,0,1,1,2,0,2,1,1,0,1,0,3,0,0,1,0,0,0
2025-12-31,16,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,2,1,0,0,1,2,1,0,0
2026-01-01,13,1,0,0,1,1,0,2,0,0,3,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0
2026-01-04,17,0,2,0,2,1,1,0,1,0,3,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0
2026-01-05,9,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2026-01-06,12,2,0,0,0,0,1,1,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2026-01-07,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2026-01-08,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-12,13,1,0,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
2026-01-13,11,0,0,0,0,1,0,0,0,2,3,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
2026-01-15,13,0,0,0,3,1,0,0,0,0,1,0,0,1,1,0,0,0,2,1,1,0,0,0,1,1,0
2026-01-18,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21,23,0,2,0,3,1,0,1,1,0,5,2,2,0,1,1,1,0,0,0,1,0,0,0,1,1,0
2026-01-22,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-01-26,4,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-27,31,2,0,0,0,0,0,5,1,1,2,1,2,0,1,1,0,2,1,3,6,0,1,0,2,0,0
2026-01-28,11,1,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0
2026-01-29,10,0,2,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2026-01-31,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2026-02-01,13,2,1,0,1,0,1,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
2026-02-02,41,0,1,1,0,2,2,13,1,0,5,0,0,1,1,0,2,0,8,0,1,0,0,1,2,0,0
2026-02-03,46,3,0,0,2,3,4,12,2,0,3,2,0,1,2,1,0,0,3,0,3,0,0,2,2,1,0
2026-02-04,18,2,2,0,0,0,4,0,0,1,1,1,0,1,3,0,0,0,0,0,1,0,0,1,1,0,0
2026-02-05,8,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2026-02-08,74,8,1,1,1,8,6,9,5,1,8,4,0,0,1,1,1,3,4,1,2,0,3,3,2,1,0
2026-02-09,40,3,6,0,0,3,5,1,2,0,2,1,0,1,4,1,0,1,4,0,2,0,1,2,1,0,0
2026-02-10,12,0,1,0,0,1,2,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0
2026-02-11,7,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2026-02-12,4,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-15,7,0,1,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-16,33,0,3,0,1,3,1,0,2,0,6,1,0,0,2,0,0,0,6,2,2,0,1,1,1,1,0
2026-02-17,15,1,1,0,4,0,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0
2026-02-18,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2026-02-19,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2026-02-22,10,0,1,0,1,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
2026-02-23,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2026-02-24,18,2,2,0,0,1,0,1,2,0,1,0,1,0,2,0,0,0,4,0,1,0,0,0,1,0,0
2026-02-25,7,0,1,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026-02-26,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2026-03-01,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2026-03-03,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2026-03-04,15,1,0,0,1,0,0,4,2,0,0,1,0,2,0,0,0,1,0,0,0,1,1,1,0,0,0
2026-03-05,5,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-03-08,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-03-09,31,3,1,0,3,3,4,3,4,0,3,0,0,0,1,0,0,1,4,0,0,0,0,0,1,0,0
2026-03-10,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026-03-11,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-12,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
2026-03-15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-16,11,1,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0
2026-03-17,19,2,0,0,1,0,1,3,0,0,1,2,0,0,0,0,1,0,4,0,2,0,1,0,1,0,0
2026-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-19,11,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,4,0,0,1,0,0,0
2026-03-22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-23,7,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
2026-03-24,27,3,2,0,2,2,3,5,2,0,1,1,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0
2026-03-26,5,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026-03-29,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
2026-03-31,18,1,2,0,0,0,0,0,4,0,2,2,0,0,0,0,1,0,2,0,2,0,1,0,1,0,0
2026-04-01,6,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-04-05,41,4,3,0,3,0,4,1,2,0,4,4,1,1,3,2,2,0,0,1,3,0,0,2,0,1,0
2026-04-06,25,1,1,0,0,0,2,0,3,1,1,1,1,2,0,1,0,3,2,0,4,0,1,1,0,0,0
2026-04-07,112,5,1,0,6,4,7,29,1,1,13,8,0,4,3,2,2,0,8,0,2,2,1,6,4,3,0
2026-04-08,17,3,1,0,0,0,3,1,0,0,3,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0
2026-04-09,56,6,4,0,2,7,6,3,6,0,2,1,1,1,3,0,0,2,2,3,1,0,2,1,2,0,1
2026-04-12,10,0,1,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0
2026-04-14,128,15,4,2,1,5,10,5,9,3,10,8,2,3,9,3,2,2,12,2,5,0,5,3,3,4,1
2026-04-15,16,1,1,0,0,0,3,2,0,1,1,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,1
2026-04-16,19,0,2,0,0,0,1,0,2,0,4,0,1,1,4,1,0,0,2,0,0,0,0,0,1,0,0
2026-04-19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-20,10,1,0,0,1,1,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2026-04-21,9,2,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-04-22,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0
2026-04-23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-26,18,0,0,1,1,2,1,0,2,2,0,0,0,0,4,0,0,0,0,0,1,0,3,0,1,0,0
2026-04-27,10,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,2,1,0,1,0,0,0,0
2026-04-28,6,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2026-04-29,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-03,12,3,1,0,0,1,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2026-05-04,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-05-05,26,1,0,0,0,2,2,1,3,1,5,2,0,3,3,0,0,0,1,1,0,0,0,0,1,0,0
2026-05-06,11,0,0,0,0,2,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,0,0
2026-05-07,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2026-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-05-12,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
2026-05-13,11,2,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
2026-05-14,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
